종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"0135Y0","ITF 중기종합채권(AA-이상)액티브","100220","-210","-0.21","100233.34","100335","100335","100220","1012","101537730","104228800000","104242672955","1040000","KIS 중기종합채권 (1~5Y, AA-이상, 총수익)","112.23","-0.18","-0.16"
"483570","KCGI 미국S&P500 TOP10","15475","-220","-1.40","15422.43","15695","15695","15370","23199","358169504","24760000000","24675891748","1600000","S&P500 Top10 25% Capped Index(PR)","8391.47","20.95","0.25"
"069660","KIWOOM 200","70005","1140","1.66","70032.33","68580","70005","68520","252315","17523743640","581041500000","605779648664","8300000","코스피 200","696.39","10.63","1.55"
"294400","KIWOOM 200TR","91180","1515","1.69","91240.95","89400","91180","89305","99603","8982039058","1467998000000","1468979343777","16100000","코스피 200 TR","916.56","13.99","1.55"
"253250","KIWOOM 200선물레버리지","56775","1910","3.48","56806.60","54440","56775","54365","110620","6094828885","28387500000","25562968271","500000","코스피 200 선물지수","3436.30","58.58","1.73"
"253240","KIWOOM 200선물인버스","2740","-55","-1.97","2724.88","2790","2790","2740","29215","80616795","1918000000","1907414728","700000","코스피 200 선물지수","3436.30","58.58","1.73"
"253230","KIWOOM 200선물인버스2X","463","-22","-4.54","461.94","492","492","463","594373","283122600","2944680000","2937956123","6360000","코스피 200 선물지수","3436.30","58.58","1.73"
"464240","KIWOOM 26-09회사채(AA-이상)액티브","52430","0","0.00","52420.79","52430","52450","52425","1904","99826210","273684600000","273636513847","5220000","KIS 2609 만기형 크레딧 종합채권 지수(AA-이상)(총수익지수)","116.28","0.00","0.00"
"458210","KIWOOM CD금리액티브(합성)","108700","30","0.03","108671.61","108690","108700","108690","858","93257110","182072500000","182024949636","1675000","FnGuide CD91일 금리투자 지수(총수익)","1447.98","0.11","0.01"
"460280","KIWOOM Fn유전자혁신기술","12240","30","0.25","12275.26","12200","12240","12085","2134","25895645","5508000000","5523868517","450000","FnGuide 유전자혁신기술 지수(시장가격)","1069.18","4.55","0.43"
"488200","KIWOOM K-2차전지북미공급망","11060","165","1.51","11128.37","10945","11130","10945","4559","50181120","6083000000","6120602449","550000","Solactive K-Battery North America Supply Chain 지수","2761.05","41.22","1.52"
"488210","KIWOOM K-반도체북미공급망","14210","-40","-0.28","14287.43","14110","14330","14050","7120","100255369","3552500000","3571858500","250000","Solactive K-Semiconductor North America Supply Chain 지수","2810.21","1.22","0.04"
